Timestamp,Participant,Headset,Signal Strength,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma,Very High Time,Very High Duration
2024-07-24 20:20:17.696671,1A,0,48,44,268672,29800,5690,9642,7980,5424,1036,2885
2024-07-24 20:20:18.705033,1A,0,43,50,30679,14949,3880,2738,4056,1317,2361,1455
2024-07-24 20:20:19.720166,1A,0,53,53,37298,7361,5905,2164,4548,8573,5485,5172
2024-07-24 20:20:19.720757,1A,Experiment,Started
2024-07-24 20:20:20.746868,1A,0,61,50,259117,42188,5858,4515,4090,10515,2849,5999
2024-07-24 20:20:21.677360,1A,0,66,64,142890,68999,10996,120456,15712,42933,9764,24835
2024-07-24 20:20:22.676200,1A,0,81,66,27658,14888,14479,5652,17216,24196,7044,30895
2024-07-24 20:20:23.669225,1A,0,81,61,47700,44772,5383,16646,5645,30990,7337,18699
2024-07-24 20:20:24.669210,1A,0,74,66,1481191,337723,83592,21178,24500,30632,16099,20638
2024-07-24 20:20:25.675850,1A,0,74,40,381789,72125,8668,6990,24314,15625,13001,20436
2024-07-24 20:20:26.655524,1A,0,66,48,477485,140901,136714,48893,79297,73211,11842,22950
2024-07-24 20:20:27.650787,1A,0,60,63,50980,5501,6063,5187,3590,3620,1283,6054
2024-07-24 20:20:28.645509,1A,0,57,57,89961,108479,21603,5712,8361,7569,3015,7953
2024-07-24 20:20:29.641030,1A,0,57,74,106295,23297,4309,14372,11138,7762,4623,6141
2024-07-24 20:20:30.637320,1A,0,54,64,715345,20072,4097,5116,1419,4410,702,672
2024-07-24 20:20:31.633703,1A,0,53,60,246362,66459,55247,8943,27028,24279,8536,28657
2024-07-24 20:20:32.627804,1A,0,61,77,45486,48505,17340,31941,8756,14320,18074,26890
2024-07-24 20:20:33.623643,1A,0,63,70,41039,51686,19472,12568,26216,23893,7231,20102
2024-07-24 20:20:34.618875,1A,0,64,75,118307,62254,13777,31280,23035,18151,5870,16549
2024-07-24 20:20:35.613861,1A,0,54,57,55551,87542,8601,6820,7729,4590,4349,5323
2024-07-24 20:20:36.614488,1A,0,51,50,655351,173325,16978,48747,10051,20874,17902,16362
2024-07-24 20:20:37.604233,1A,0,50,61,119883,12653,1206,16090,4084,6731,883,5438
2024-07-24 20:20:38.601916,1A,0,54,50,817402,114449,19351,15475,20848,47121,4307,31240
2024-07-24 20:20:39.602828,1A,0,67,63,1159682,57400,36680,11187,16146,30814,6389,6917
2024-07-24 20:20:40.589951,1A,0,61,60,59345,173722,45588,7018,4292,7368,7103,3087
