Timestamp,Participant,Headset,Signal Strength,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,High Gamma,Very High Time,Very High Duration
2024-07-24 18:52:28.214675,1,200,0,0,534234,344151,4400,5211,16507,18301,56862,28974
2024-07-24 18:52:29.203636,1,200,0,0,123723,17032,978,4763,4180,3441,14579,7339
2024-07-24 18:52:30.198394,1,200,0,0,73424,55809,27174,13917,27202,12587,13542,6846
2024-07-24 18:52:30.203354,1,Experiment,Started
2024-07-24 18:52:31.197742,1,200,0,0,117167,42941,24385,16597,18665,9152,14975,11330
2024-07-24 18:52:31.198327,1,Experiment,Started
2024-07-24 18:52:32.189929,1,200,0,0,297813,34924,3516,615,320,1457,2812,1769
2024-07-24 18:52:32.190510,1,Experiment,Started
2024-07-24 18:52:33.184513,1,200,0,0,128665,19389,4665,3047,5658,6122,9302,8196
2024-07-24 18:52:33.185100,1,Experiment,Started
2024-07-24 18:52:34.179603,1,200,0,0,248478,160805,72159,50918,7711,8743,37517,30235
2024-07-24 18:52:34.180130,1,Experiment,Started
2024-07-24 18:52:35.182911,1,200,0,0,116156,30423,17381,19895,12067,10057,15586,8384
2024-07-24 18:52:35.183597,1,Experiment,Started
2024-07-24 18:52:36.171118,1,200,0,0,246495,86261,59232,24457,6299,27619,51426,45555
2024-07-24 18:52:36.171749,1,Experiment,Started
2024-07-24 18:52:37.167222,1,200,0,0,135137,44165,23191,10954,18841,8621,11415,10812
2024-07-24 18:52:37.167817,1,Experiment,Started
2024-07-24 18:52:38.178261,1,200,0,0,201457,117361,77973,92810,70325,28788,47712,30783
2024-07-24 18:52:38.178848,1,Experiment,Started
2024-07-24 18:52:39.161422,1,200,0,0,101806,36791,17469,12579,16062,10369,14724,7225
2024-07-24 18:52:39.162010,1,Experiment,Started
2024-07-24 18:52:40.153574,1,200,0,0,211207,34900,2206,1781,6860,4436,15156,10795
2024-07-24 18:52:40.154158,1,Experiment,Started
2024-07-24 18:52:41.148708,1,200,0,0,140954,43681,14271,22389,17967,6073,16707,10803
2024-07-24 18:52:41.149296,1,Experiment,Started
2024-07-24 18:52:42.143745,1,200,0,0,214394,37377,5870,4261,8861,5700,14842,13542
2024-07-24 18:52:42.144358,1,Experiment,Started
2024-07-24 18:52:43.141507,1,200,0,0,169930,163303,85692,64645,84068,35649,32113,40211
2024-07-24 18:52:43.142089,1,Experiment,Started
2024-07-24 18:52:44.134774,1,200,0,0,1564847,140094,455585,426863,316375,143576,556429,251596
2024-07-24 18:52:44.135466,1,Experiment,Started
2024-07-24 18:52:45.130556,1,200,0,0,274316,133092,62006,111178,94148,64798,29862,6192
2024-07-24 18:52:45.131290,1,Experiment,Started
2024-07-24 18:52:46.126142,1,200,0,0,1826752,170941,17321,53373,33779,25059,25505,11615
2024-07-24 18:52:46.126729,1,Experiment,Started
2024-07-24 18:52:47.122825,1,200,0,0,82268,83040,7319,27735,70015,23979,11774,8131
2024-07-24 18:52:47.123686,1,Experiment,Started
2024-07-24 18:52:48.116333,1,200,0,0,267601,275117,222145,204711,190411,284898,163494,37037
2024-07-24 18:52:48.116947,1,Experiment,Started
2024-07-24 18:52:49.112198,1,200,0,0,2252363,1337102,680630,286821,979541,1246182,858995,210430
2024-07-24 18:52:49.112790,1,Experiment,Started
2024-07-24 18:53:08.853106,1,80,0,0,263142,802858,49675,291097,131717,343464,132859,1231987
2024-07-24 18:53:08.853750,1,Experiment,Started
2024-07-24 18:53:09.854261,1,80,0,0,303752,1082119,248521,266940,176565,168988,111335,654641
2024-07-24 18:53:09.854856,1,Experiment,Started
2024-07-24 18:53:10.843682,1,80,0,0,527578,1135014,148059,247175,164147,367018,167922,717602
2024-07-24 18:53:10.844280,1,Experiment,Started
2024-07-24 18:53:11.839261,1,80,0,0,195870,1272166,92472,407148,137673,208099,87096,710746
2024-07-24 18:53:11.839870,1,Experiment,Started
2024-07-24 18:53:12.834779,1,200,0,0,1170621,612426,22470,53504,245240,122777,86378,76178
2024-07-24 18:53:12.835589,1,Experiment,Started
2024-07-24 18:53:13.829308,1,200,0,0,1055434,121845,333387,97458,173805,231159,109080,91561
2024-07-24 18:53:13.829901,1,Experiment,Started
2024-07-24 18:53:14.824990,1,200,0,0,162373,103097,15141,50863,29112,31668,30937,43443
2024-07-24 18:53:14.825609,1,Experiment,Started
2024-07-24 18:53:15.821394,1,200,0,0,677843,390828,111585,88751,183218,128829,124122,81851
2024-07-24 18:53:15.822126,1,Experiment,Started
2024-07-24 18:53:16.818442,1,200,0,0,1428614,341316,39057,86679,154499,150934,46258,130502
2024-07-24 18:53:16.819158,1,Experiment,Started
